"date","artist","title","rank","peak_pos","last_week","weeks"
"2018-12-08","Pardison Fontaine Featuring Cardi B","Backin' It Up",76,81,"88",3
"2018-12-08","Camila Cabello","Consequences",77,73,"73",7
"2018-12-08","Bebe Rexha","I'm A Mess",78,78,"80",7
"2018-12-08","Chris Young","Hangin' On",79,79,"79",4
"2018-12-08","Tyga & Nicki Minaj","Dip",80,15,"70",8
"2018-12-08","Dustin Lynch","Good Girl",81,30,"-",5
"2018-12-08","The Chainsmokers Featuring Kelsea Ballerini","This Feeling",82,62,"62",8
"2018-12-08","Billie Eilish & Khalid","Lovely",83,87,"87",3
"2018-12-08","Anuel AA & Romeo Santos","Ella Quiere Beber",84,52,"77",15
"2018-12-08","Lil Baby & Gunna Featuring Drake","Never Recover",85,51,"74",4
"2018-12-08","6ix9ine Featuring Anuel AA","BEBE",86,90,"90",3
"2018-12-08","Maren Morris","Rich",87,75,"83",19
"2018-12-08","Thomas Rhett","Sixteen",88,94,"99",2
"2018-12-08","Russell Dickerson","Blue Tacoma",89,38,"78",4
"2018-12-08","Jacquees","You",90,96,"97",2
"2018-12-08","Metro Boomin Featuring Gunna","Space Cadet",91,6,"75",12
"2018-12-08","Kip Moore","Last Shot",92,13,"84",11
"2018-12-08","Daniel Caesar Featuring H.E.R.","Best Part",93,80,"93",10
"2018-12-08","Jason Aldean","Girl Like You",94,98,"98",2
"2018-12-08","Metro Boomin Featuring 21 Savage","Don't Come Out The House",95,NA,"",NA
"2018-12-08","Billie Eilish","Ocean Eyes",96,NA,"",NA
"2018-12-08","Kanye West & Lil Pump","I Love It",97,NA,"",NA
"2018-12-08","Lil Peep & XXXTENTACION","Falling Down",98,NA,"",NA
"2018-12-08","Lil Mosey","Noticed",99,NA,"",NA
"2018-12-08","Ellie Goulding X Diplo Featuring Swae Lee","Close To Me",100,NA,"",NA
"2018-12-01","Lauv","I Like Me Better",44,27,"41",41
"2018-12-01","Post Malone Featuring Ty Dolla $ign","Psycho",45,1,"48",39
"2018-12-01","XXXTENTACION","Sad!",46,1,"45",38
"2018-12-01","Queen","Bohemian Rhapsody",50,2,"40",44
"2018-12-01","Kodak Black","Take One",81,82,"83",3
"2018-12-01","Quavo","W O R K I N  M E",86,87,"91",2
"2018-12-01","Eminem Featuring Joyner Lucas","Lucky You",89,90,"95",2
"2018-12-01","Lil Wayne Featuring Kendrick Lamar","Mona Lisa",91,80,"90",9
"2018-12-01","City Girls Featuring Cardi B","Twerk",92,94,"-",5
"2018-12-01","Silk City x Dua Lipa","Electricity",94,96,"96",2
"2018-12-01","Eric Church","Desperate Man",95,NA,"",NA
"2018-12-01","Chris Stapleton","Millionaire",96,NA,"",NA
"2018-12-01","AJR","Burn The House Down",100,NA,"",NA
"2018-11-24","YG Featuring 2 Chainz, Big Sean & Nicki Minaj","Big Bank",49,34,"55",9
"2018-11-24","Trippie Redd","Love Scars 3",73,74,"95",5
"2018-11-24","Imagine Dragons","Bad Liar",79,75,"84",17
"2018-11-24","Lady Gaga","Always Remember Us This Way",85,6,"93",11
"2018-11-24","Trippie Redd Featuring Kodie Shane","Negative Energy",89,52,"87",19
"2018-11-24","Lady Gaga","I'll Never Love Again",97,NA,"",NA
"2018-11-24","Trippie Redd","Toxic Waste",98,NA,"",NA
"2018-11-24","Bryce Vine","Drew Barrymore",99,NA,"",NA
"2018-11-24","Tiesto & Dzeko Featuring Preme & Post Malone","Jackie Chan",100,NA,"",NA
"2018-11-17","Selena Gomez","Back To You",47,12,"43",35
"2018-11-17","Taylor Swift","Delicate",49,48,"48",7
"2018-11-17","Metro Boomin Featuring Travis Scott","Overdue",62,64,"64",12
"2018-11-17","TakeOff","Last Memory",68,47,"73",7
"2018-11-17","Metro Boomin Featuring Swae Lee & Travis Scott","Dreamcatcher",72,77,"81",4
"2018-11-17","Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage","No More",79,36,"72",5
"2018-11-17","Calvin Harris & Sam Smith","Promises",88,74,"98",4
"2018-11-17","DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo","No Brainer",94,96,"96",2
"2018-11-17","Old Dominion","Hotel Key",96,NA,"",NA
"2018-11-17","Eminem","Killshot",98,NA,"",NA
"2018-11-17","TakeOff","Casper",99,NA,"",NA
"2018-11-17","Metro Boomin Featuring Travis Scott & Young Thug","Up To Something",100,NA,"",NA
"2018-11-10","Michael Jackson","Thriller",31,22,"41",11
"2018-11-10","Zedd, Maren Morris & Grey","The Middle",46,6,"35",8
"2018-11-10","Chris Janson","Drunk Girl",79,75,"85",15
"2018-11-10","Steve Aoki Featuring BTS","Waste It On Me",89,74,"-",3
"2018-11-10","P!nk","A Million Dreams",90,96,"97",4
"2018-11-10","Eminem","Venom",92,94,"-",5
"2018-11-10","Lil Uzi Vert","New Patek",93,68,"94",15
"2018-11-10","Cole Swindell","Break Up In The End",95,NA,"",NA
